Gruppe,Strafverfahren eingeleitet,Welche Art?,Verfahren abgeschlossen?,Abschluss,Was wurde aus der Anklage?,value
Demo,Ja,Körperverletzung,ja,,,357
Fußball,ja,,,,,81
